2026-02-17T09:42:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:42:43.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:42:53.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:42:53.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:43:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:43:03.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:43:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:43:13.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:43:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:43:23.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:43:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:43:33.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:43:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:43:43.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:43:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:43:53.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:44:03.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:44:03.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:44:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:44:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:44:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:44:23.270Z | GET /api/sensors | Auth: Invalid
